Movie ID,Title,Genre,Director,Cast,Release Date,Budget (in millions),Runtime (in minutes),Box Office Revenue (in millions)
215,Sing ,Animation/Jukebox/Musical,Garth Jennings ,"Matthew McConaughey, Reese Witherspoon ",2016-12-21,75,108,634
216,The Incredibles ,Animation/Superhero,Brad Bird ,"Craig T.Nelson, Holly Hunter",2004-11-05,92,115,631.6
217,Ratatouille ,Animation/Comedy/Drama,Brad Bird ,"Patton Oswalt, Ian Holm ",2007-06-29,150,111,623.7
218,How To Train Your Dragon ,Animation/Fantasy,"Chris Sanders, Dean DeBlois ","Jay Baruchel, Gerard Butler ",2016-03-26,165,98,494.9
219,How To Train Your Dragon 2,Animation/Fantasy,Dean DeBlois ,"Jay Baruchel, Gerard Butler ",2014-06-13,145,102,621.5
220,How To Train Your Dragon:The Hidden World ,Animation/Fantasy,Dean DeBlois ,"Jay Baruchel, Gerard Butler ",2019-02-22,129,104,525.7
221,Tangled ,Animation/Fantasy/Comedy,"Nathan Greno, Byron Howard ","Mandy Moore, Zachary Levi",2010-11-24,260,100,592.5
222,The Croods,Animation/Comedy/Adventure ,"Chris Sanders, Kirk DeMicco ","Nicolas Cage, Emma Stone ",2013-03-22,135,98,587.3
223,Monsters Inc ,Animation/Comedy ,Peter Docter ,"John Goodman, Billy Crystal",2001-11-02,115,92,579.7
224,Cars ,Animation/Comedy/Sports,John Lasseter ,"Paul Newman, Qwen Wilson ",2006-06-09,120,117,462
225,Cars 2,Animation/Comedy/Spy,John Lasseter ,"Larry the Cable Guy, Owen Wilson ",2011-06-24,200,106,559.8
226,Cars 3,Animation/Comedy/Sports ,Brian Fee,"Owen Wilson, Cristela Alonzo ",2017-06-16,175,102,383.9
227,Planes 1,Animation/Comedy/Sports ,Klay Hall ,"Dane Cook, Stacy Keach",2013-08-09,50,92,240.2
228,Planes:Fire and Rescue ,Animation/Comedy,Bobs Gannaway ,"Dane Cook, Stacy Keach",2014-07-18,50,84,147
229,Puss in Boots ,Animation/Comedy/Adventure ,Chris Miller ,"Antonio Banderas, Salma Hayek ",2011-10-28,130,90,555
230,Despicable Me ,Animation/Comedy/Adventure ,"Chris Renaud, Pierre Coffin ","Steve Carell, Jason Segel ",2010-07-09,69,95,543.2
231,Brave ,Animation/Fantasy,"Mark Andrews, Brenda Chapman ","Kelly Macdonald, Emma Thompson ",2012-06-22,185,93,539
232,WALL-E,Animation/Romantic/Sc-Fi,Andrew Stanton ,"Ben Burtt, Elissa Knight ",2008-06-27,180,97,532.5
233,Ralph Breaks the Internet ,Animation/Comedy,"Rich Moore, Phil Johnston ","John C.Reilly, Sarah Silverman ",2018-11-21,175,112,529.3
234,Demon Slayer:The Movie:Mugen Train ,Animation/Fantasy/Action  ,Haruo Sotozaki ,"Natsuki Hanae, Akari Kito ",2020-10-16,15.7,119,507.1
235,Your Name ,Animation/Romantic/Fantasy ,Makoto Shinkai ,"Ryunosuke Kamiki, Mone Kamishiraishi",2016-08-26,4.9,107,400
236,The Simpsons Movie ,Animation/Comedy,David Silverman ,"Dan Castellaneta, Julie Kavner ",2007-06-27,75,87,536.4
237,Aladdin ,Animation/Fantasy/Comedy ,"John Musker, Ron Clements","Scott Weinger, Robin Williams ",1992-11-11,28,90,504.1
238,The SpongeBob Movie:Sponge Out of Water,Animation/Adventure/Comedy,"Paul Tibbitt, Mike Mitchell","Antonio Banderas,Tom Kenny",2015-02-28,60,92,325.2
239,Suzume,Animation/Adventure/Fantasy ,Makoto Shinkai ,"Nanoka Hara, Hokuto Matsumura",2022-11-11,6,122,318
240,The Boy and The Heron,Animation/Fantasy ,Hayao Miyazaki,"Soma Santoki, Masaki Suda ",2023-07-14,53,124,294.2
241,The Princes and the Frog,Animation/Romantic/Fantasy ,"John Musker, Ron Clements","Anika Noni Rose, Bruno Campos",2009-12-11,105,97,271
242,One Piece Film:Red,Animation/Adventure/Fantasy ,Goro Taniguchi,"Mayumi Tanaka, Shuichi Ikeda ",2022-08-06,5,115,246.5
243,Ponyo ,Animation/Fantasy ,Hayao Miyazaki,"Tomoko Yamaguchi, Kazushige Nagashima ",2008-07-19,34,101,205.9
244,Jujutsu Kaisen 0,Animation/Fantasy ,Sunghoo Park,"Megumi Ogata, Kana Hanazawa ",2021-12-24,15.8,105,196.2
245,Weathering with you ,Animation/Romantic/Fantasy ,Makoto Shinkai ,"Kotaro Daigo, Nana Mori",2019-07-19,11,112,193.8
246,Titanic ,Romantic/Disaster ,James Cameron ,"Leonardo DiCaprio, Kate Winslet ",1997-12-19,200,195,2264
247,Star Wars:The Force Awakens,Space/Opera ,J. J. Abrams ,"Harrison Ford, Mark Hamill ",2015-12-18,447,138,2071
248,Jurassic World ,Sc-Fi/Action,Colin Trevorrow ,"Chris Pratt, Byrce Dallas Howard ",2015-06-12,150,124,1671
249,Furious 7,Action ,James Wan ,"Vin Diesel, Paul Walker",2015-04-03,190,137,1515
250,Star Wars:The Last Jedi ,Space/Opera ,Rian Johnson ,"Mark Hamill, Carrie Fisher ",2017-12-15,300,152,1334
251,Jurassic World:Fallen Kingdom,Sc-Fi/Action,J.A. Bayona,"Chris Pratt, Bryce Dallas Howard ",2018-06-22,432,128,1310
252,Beauty and The Beast ,Romantic/Fantasy,Bill Condon ,"Emma Watson, Dan Stevens ",2017-03-17,160,129,1266
253,The Fate Of The Furious ,Action ,F. Gary Gray ,"Vin Diesel, Dwayne Johnson ",2017-04-14,250,136,1236
254,SkyFall,Spy/Action,Sam Mendes ,"Daniel Craig, Javier Barden ",2012-10-26,150,143,1109
255,The Dark Knight Rise ,Superhero ,Christoher Nolan ,"Christian Bale, Michael Caine ",2012-07-20,250,164,1085
256,Joker ,Psychological /Thriller ,Todd Phillips,"Joaquin Phoenix, Robert De Niro ",2019-10-04,55,122,1079
257,Star Wars:The Rise Of Skywalker,Space/Opera ,J. J. Abrams ,"Carrie Fisher, Mark Hamill",2019-12-20,416,142,1077
258,Priate of the Caribbean:Dead Man's Chest,Fantasy/Swashbuckler,Gore Verbinski ,"Johnny Depp, Orlando Bloom ",2006-07-07,225,151,1066
259,Rogue One ,Space/Opera ,Gareth Edwards ,"Felicity Jones, Diego Luna ",2016-12-16,200,134,1059
260,Aladdin ,Musical/Fantasy,Guy Ritchie ,"Will Smith, Mena Massound ",2019-05-24,183,128,1054
261,Star Wars:Episode I -The Phantom Menace ,Space/Opera ,George Lucas ,"Liam  Neeson, Ewan McGregor ",1999-05-19,115,134,1046
262,Priate of the Caribbean:On Stranger Tides,Fantasy/Swashbuckler,Rob Marshall,"Johnny Depp, Penelope Cruz",2011-05-20,410.6,137,1046
263,Jurassic Park ,Sc-Fi/Action,Steven Spielberg ,"Sam Neill, Laura Dern",1993-06-11,63,127,1058
264,Alice in Wonderland ,Adventure/Fantasy ,Tim Burton ,"Johnny Depp, Anee Hathaway ",2010-03-05,150,108,1025
265,The Dark Knight ,Superhero ,Christopher Nolan,"Christian Bale, Michael Caine ",2008-07-25,185,152,1006
266,Missionn:Impossible2,Spy/Action,John Woo,"Tom Cruise, Paula Wagner ",2000-05-24,120,124,546.3
267,Pirates of the Caribbean:At World's End ,Fantasy/Swashbuckler,Gore Verbinski ,"Johnny Deep, Orlando Bloom ",2007-05-25,300,168,963.4
268,Gone with the Wind ,Historical/Romance ,Victor Fleming ,"Clark Gable, Vivien Leigh ",1939-12-15,3.85,221,390
269,Star Wars ,Space/Opera,George Lucas ,"Mark Hamill, Carrie Fisher ",1977-05-25,11,121,775.4
270,The Sound of Music ,Musical/Drama,Robert Wise,"Julie Andrews, Christopher Plummer ",1965-03-02,8.2,174,286.2
271,E.T. the Extra-Terrestrial,Sc-Fi,Steven Spielberg ,"Dee Wallace, Henry Thomas ",1982-06-11,10.5,114,792.9
272,The Ten Commandments,Religious/Drama,Cecil B.DeMille ,"Charlton Heston, Yul Brynner ",1956-11-08,13,220,122.7
273,Doctor Zhivago ,Historical/Romance ,David Lean ,"Geraldine Chaplin, Julie Christie ",1992-12-22,11,200,248.2
274,Spider-Man ,Superhero ,Sam Raimi ,"Tobey Maguire, Willem Dafoe ",2002-05-03,139,121,831.2
275,Spider-Man 2,Superhero ,Sam Raimi ,"Tobey Maguire, Willem Dafoe ",2004-06-30,200,127,795.9
276,Spider-Man 3,Superhero ,Sam Raimi ,"Tobey Maguire, Willem Dafoe ",2007-05-04,258,139,890.9
277,The Amazing Spider-Man ,Superhero ,Marc Webb,"Andrew Garfield, Emma Stone ",2012-07-03,200,136,758
278,The Amazing Spider-Man 2,Superhero ,Marc Webb,"Andrew Garfield, Emma Stone ",2014-05-02,200,142,709
279,Spider-Man: Into the Spider-Verse ,Animation/Superhero,"Bob Persichetti, Peter Ramsey, Rodney Rothman ","Shameik Moore, Jake Johnson",2018-12-14,90,117,384.3
280,The Empire Strikes Back ,Space/Opera ,Irvin Kershner ,"Mark Hamill, Carrie Fisher ",1980-05-21,30.5,124,538
281,Return of the Jedi ,Space/Opera ,Richard Marquand,"Mark Hamill, Carrie Fisher ",1983-05-25,32.5,132,482
282,Star Wars:Episode II-Attack of the Clones ,Space/Opera ,George Lucas ,"Ewan McGregor, Natalie Portman ",2002-05-16,115,142,653.8
283,Star Wars:Episode III-Revenge of the Sith,Space/Opera ,George Lucas ,"Ewan McGregor, Natalie Portman ",2005-05-16,113,140,868.4
284,Solo:A Star Wars Story ,Space/Western,Ron Howard ,"Alden Ehrenreich, Woody Harrelson ",2018-05-25,275,135,393.2
285,Die Another Day ,Spy,Lee Tamahori ,"Pierce Brosnan, Halle Berry",2002-11-22,142,133,431.9
286,Casino Royale ,Spy/Action/Thriller ,Martin Campbell,"Daniel Craig, Eva Green ",2002-11-17,102,144,616
287,Quantum of Solace ,Spy,Marc Forster ,"Daniel Craig, Olga Kurylenko",2008-11-14,200,106,589.6
288,Spectre ,Spy,Sam Mendes ,"Daniel Craig, Christoph Waltz",2015-11-06,245,148,880.7
289,No Time To Die ,Spy,Cary Joji Fukunaga ,"Daniel Craig, Rami Malek ",2021-10-08,250,163,774.2
290,X-Men,Superhero ,Bryan Singer ,"Patrick Stewart, Hugh Jackman ",2000-07-14,75,104,296.3
291,X2,Superhero ,Bryan Singer ,"Patrick Stewart, Hugh Jackman ",2003-05-02,110,134,407.7
292,X-Men:The Last Stand ,Superhero ,Brett Ratner ,"Hugh Jackman, Halle Berry",2006-05-26,210,104,460.4
293,X-Men Origins: Wolverine ,Superhero ,Gavin Hood ,"Hugh Jackman, Danny Huston ",2009-05-01,150,107,373
294,The Wolverine ,Superhero ,James Mangold ,"Hugh Jackman, Hiroyuki Sanada ",2013-07-26,100,126,414.8
295,Logan,Superhero ,James Mangold ,"Hugh Jackman, Patrick Stewart ",2017-05-03,97,137,619.2
296,X-Men :First Class ,Superhero ,Matthew Vaughn ,"James McAvoy, Michael Fassbender ",2011-06-03,140,132,353
297,X-Men:Days of Future Past,Superhero ,Bryan Singer ,"Hugh Jackman, James McAvoy",2014-05-10,200,132,746
298,X-Men:Apoxalypse ,Superhero ,Bryan Singer ,"James McAvoy, Michael Fassbender ",2016-05-27,178,144,543.9
299,Dark Phoenix ,Superhero ,Simon Kinberg,"James McAvoy, Michael Fassbender ",2019-06-07,200,114,252.4
300,Deadpool ,Superhero ,Tim Miller ,"Ryan Reynolds, Morena Baccarin",2016-02-12,58,108,782
301,Deadpool 2,Superhero ,David Leitch ,"Ryan Reynolds, Josh Brolin",2018-05-18,110,119,785
302,The New Mutants ,Superhero ,Josh Boone ,"Maisie Williams, Anya Taylor-Joy",2020-08-28,67,94,49.2
303,The Fast and the Furious ,Action ,Rob Cohen ,"Vin Diesel, Paul Walker",2001-06-22,38,106,207.3
304,2 Fast 2 Furious ,Action ,John Singleton ,"Paul Walker, Tyrese Gibson ",2003-06-06,76,108,236.4
305,The Fast and the Furious:Tokyo Drift ,Action ,Justin Lin ,"Lucas Black, Bow Wow ",2006-06-16,85,104,159
306,Fast & Furious ,Action ,Justin Lin ,"Vin Diesel, Paul Walker",2009-04-03,85,107,360.4
307,Fast Five ,Action ,Justin Lin ,"Vin Diesel, Paul Walker",2011-04-29,125,130,626.1
308,Fast & Furious 6,Action ,Justin Lin ,"Vin Diesel, Paul Walker ",2013-04-24,160,130,788.7
309,F9,Action ,Justin Lin ,"Vin Diesel, Michelle Rodriguez",2021-06-25,200,143,726.2
